frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5
68,(1884!2806),(1492!3045),(595!2499),(1949!2646),(1928!2555),(327!2134)
69,(1884!2806),(1493!3048),(600!2519),(1951!2647),(1929!2556),(327!2135)
70,(1886!2807),(1493!3048),(602!2519),(1950!2647),(1929!2556),(327!2134)
71,(1885!2807),(1492!3048),(601!2517),(1950!2646),(1929!2555),(326!2135)
72,(1883!2806),(1492!3047),(602!2533),(1950!2647),(1929!2556),(327!2135)
73,(1883!2807),(1492!3055),(617!2529),(1950!2647),(1929!2555),(327!2134)
74,(1883!2807),(1486!3062),(613!2524),(1949!2647),(1929!2556),(326!2134)
75,(1883!2807),(1475!3067),(611!2519),(1949!2646),(1929!2555),(326!2135)
76,(1884!2808),(1472!3067),(610!2519),(1949!2647),(1929!2556),(327!2135)
77,(1885!2808),(1467!3069),(614!2520),(1949!2646),(1929!2556),(327!2135)
78,(1884!2808),(1459!3072),(614!2532),(1949!2646),(1929!2556),(327!2135)
79,(1883!2807),(1452!3077),(613!2538),(1949!2646),(1929!2555),(327!2134)
80,(1883!2807),(1444!3082),(612!2539),(1949!2646),(1929!2555),(327!2135)
81,(1883!2807),(1434!3079),(610!2537),(1949!2645),(1928!2555),(327!2135)
