frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_8,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_57,ID_58,ID_59,ID_60,ID_63,ID_64,ID_66,ID_67,ID_69,ID_70,ID_72,ID_73,ID_74,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_114,ID_115,ID_117,ID_118,ID_119,ID_120,ID_121,ID_122,ID_124,ID_125,ID_126,ID_127,ID_130,ID_132,ID_134,ID_135,ID_136,ID_137,ID_142,ID_143,ID_144,ID_145,ID_146,ID_147,ID_148,ID_149,ID_150,ID_151,ID_152,ID_153
350,(220!166),(1189!970),,,,,,,,,,,,,,,(1414!580),,,,,(998!581),,,,(1124!1343),,,(342!579),,,,,(1553!683),,(1461!263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,(221!170),(1188!971),,,,,,,,,,,,,,,(1414!580),,,,,(1000!577),,,,(1132!1343),(1230!1341),,(343!578),,,,,(1553!681),,(1461!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,(221!169),(1188!970),,,,,,,,,,,,,,,,,,,,(1000!583),,,,(1132!1344),(1231!1341),,(343!579),,,,,(1553!681),,(1461!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,(220!166),,,,,,,,,,,,,,,,(1414!580),,,,,(1000!584),,,,(1131!1342),,,(342!580),,,,,(1553!682),,(1461!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,(220!168),,,,,,,,,,,,,,,,(1414!580),,,,,(1000!583),,,,(1131!1342),,,(342!582),,,,,(1553!682),,(1461!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,(220!170),,,,,,,,,,(544!246),,,,,,(1414!581),,,,,(1000!583),,,,(1123!1344),,,(344!583),,,,,(1553!682),,(1461!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,(220!166),,,,,,,,,,,,,,,,(1414!581),,,,,(999!583),,,,(1123!1344),,,(344!583),,,,(1141!202),(1553!682),,(1460!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,(220!166),,,,,,,,,,,,,,,,,,,,,(1000!583),,,,(1130!1343),,,(344!584),,,,(1140!202),(1553!682),,(1460!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,(219!166),(1188!971),,,,,,,,,,,,,,,,,,,,(1000!582),,,,(1130!1343),(1261!1298),,(344!584),,,(1309!895),(1140!200),(1553!681),,(1460!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,(219!166),(1188!970),,,,,,,,,,,,,,,(1414!581),,,,,(1000!582),,,,(1130!1343),(1236!1342),,(344!585),,,(1309!893),(1140!200),(1553!680),,(1460!266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,(218!165),(1188!970),,,,,,,,,,,,,,,(1414!581),,,,,(997!581),,,,(1123!1343),(1237!1343),,(345!585),,,,,(1553!680),,(1460!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,(219!167),(1188!970),,,,,,,,,(543!244),,,,,,(1413!583),,,,,(1000!577),,,,(1123!1343),(1238!1343),,(344!585),,,,,(1553!680),,(1460!264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
