frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_21,ID_23,ID_24,ID_25,ID_27,ID_28,ID_30,ID_31,ID_32,ID_33,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_45,ID_49,ID_51,ID_54,ID_55,ID_57,ID_60,ID_64
60,,,,,,,,,,,,,,,,,,,"(579,57)",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,"(1603,1056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,"(777,390)",,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,"(1530,877)",,,,,,,,,,,,,,"(780,389)",,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,"(779,387)",,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,"(1601,1065)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,"(1599,1067)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,"(1603,1079)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,"(597,57)",,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,"(1603,1076)",,,,,,,,,,,,,,,,,,"(787,380)",,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,"(784,392)","(624,601)",,,,,,,,,,,,,,,,,,,,,,
80,,,,,"(1602,1074)",,,,,,,,,,,,,,,,,,"(775,377)","(624,605)",,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,"(601,57)",,,"(626,605)",,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,"(601,57)",,,"(627,605)",,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,"(602,56)",,"(797,399)","(628,607)",,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,"(1520,941)",,,,,,,,,,,,,,"(603,57)",,,"(629,609)",,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,"(1519,941)",,,,,,,,,,,,,,"(603,57)",,,"(630,611)",,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,"(604,56)",,,"(631,612)",,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,"(605,56)",,,"(632,612)",,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,"(605,56)",,,"(632,613)",,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,"(606,56)",,,"(632,613)",,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,"(607,57)",,,"(633,615)",,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,"(608,57)",,,"(634,618)",,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,"(608,56)",,"(789,366)","(634,621)",,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,"(1333,781)",,,,,,,,,,"(608,57)",,"(788,368)","(635,623)",,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,"(609,56)",,"(786,370)","(636,624)",,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,"(609,57)",,"(786,370)","(635,624)",,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,"(611,57)",,"(785,367)","(638,625)",,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,"(1519,940)",,,,,,,,,,,,,,"(611,56)",,"(787,366)","(638,624)",,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,"(610,56)",,"(784,363)","(640,624)",,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,"(612,56)",,"(786,360)","(639,624)",,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,"(1519,940)",,,,,,,,,,,,,,"(611,57)",,,"(638,623)",,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,"(612,57)",,,"(638,623)",,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,"(612,57)",,,"(638,623)",,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,"(613,56)",,,"(639,623)",,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,"(614,57)",,,"(639,623)",,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,"(792,372)","(639,625)",,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,"(791,360)","(641,624)",,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,"(799,359)","(641,626)",,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,"(1519,941)",,,,,,,,,,,,,,,,,"(641,627)",,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,"(643,627)",,,,,,,,,,,,,,,,,,,,,,
