frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_13,ID_14
675,,(293!189),(792!815),(372!755),(694!1015),,,(768!1024),,,,,,
676,(623!55),(293!189),(792!814),(372!755),(693!1015),,,(767!1024),,,,,,
677,(622!52),(293!189),(793!814),(372!755),(693!1015),,,(767!1024),,,,,,
678,(618!52),(293!189),(796!814),(372!757),(693!1015),,,(767!1024),,,,,,
679,(619!54),(293!189),(798!812),(372!755),(693!1014),,,(767!1024),,,,,,
680,(618!54),(293!189),(800!813),(371!755),(694!1015),,,(768!1024),,,,,,
681,(619!55),(293!189),(796!814),(372!755),(693!1015),,,(767!1024),,,,,,
682,,(293!189),(802!812),(371!754),(693!1014),,,(767!1024),,,,,,
683,(619!55),(293!189),(804!812),(372!755),(693!1015),,,(767!1024),,,,,,
684,(624!55),(293!189),(804!810),(372!756),(693!1014),,,(767!1024),,,,,,
685,(623!55),(293!189),(806!810),(372!756),(693!1015),,,(767!1024),,,,,,
686,(624!54),(293!189),(807!810),(372!756),(693!1014),,,(767!1024),,,,,,
687,(624!54),(292!189),(808!810),(372!756),(693!1015),,,(767!1024),,,,,,
688,,(293!189),(809!808),(372!756),(693!1014),,,(767!1023),,,,,,
689,(624!54),(293!189),(811!808),(372!756),(693!1014),,,(767!1023),,,,,,
690,(624!55),(293!189),(811!808),(372!756),(693!1014),,,(767!1024),,,,,,
691,(625!55),(292!189),(812!808),(371!756),(693!1014),,,(767!1024),,,,,,
692,(625!54),(292!189),(813!808),(372!755),(693!1014),,,(767!1023),,,,,,
693,(625!54),(293!189),(814!808),(372!756),(693!1014),,,(767!1023),,,,,,
694,(625!55),(293!189),(816!808),(372!755),(693!1014),,,(767!1023),,,,,,
695,,(293!189),(817!808),(372!755),(693!1014),,,(767!1023),,,,,,
696,(625!56),(293!189),(817!807),(372!755),(693!1014),,,(767!1024),,,,,,
697,,(293!189),(819!807),(372!755),(693!1015),,,(767!1024),,,,,,
