frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
269,(1297!75),(121!73),(349!666),(1067!817),(143!954),,,,(867!47),,,,,,
270,(1298!75),(121!73),(349!666),(1066!816),(143!953),,,,(869!46),,,,,,
271,(1298!75),(121!73),(349!666),(1066!817),(143!953),,,,(871!46),(1392!941),,,,,
272,(1297!75),(121!73),(349!666),(1065!817),(144!953),,,,(869!47),,,,,,
273,(1298!75),(121!73),(349!666),(1065!816),(144!953),,,,(870!47),(1392!937),,,,(50!647),
274,(1296!76),(121!73),(348!666),(1064!816),(144!952),,,,(870!46),(1391!941),,,,,
275,(1297!75),(121!73),(348!666),(1063!816),(144!951),,,,(872!50),,(104!1030),,,,
276,(1297!75),(121!73),(348!666),(1063!816),(144!951),,,,(872!49),,,,,,
277,(1297!75),(121!72),(348!665),(1062!815),(144!950),,,,(872!49),,,,,,
278,(1297!75),(121!73),(349!666),(1063!815),(145!950),,,,(866!46),,,,,(51!629),
279,(1297!75),(121!73),(349!666),(1061!816),(107!1030),,,,(872!49),,(145!949),,,,
280,(1297!75),(121!73),(349!665),(1062!815),(104!1029),,,,(873!49),,(145!948),,(33!1030),,
281,(1297!75),(121!73),(349!666),(1061!815),,,,,(873!49),,(145!948),,,,
282,(1297!75),(121!73),(349!666),(1060!815),,,,,(873!50),,(145!947),,,,
283,(1297!75),(121!73),(349!665),(1059!814),,,,,(870!46),,(145!947),,,,
284,(1297!75),(121!73),(349!666),(1058!815),,,,,(873!49),,(145!946),,,,
285,(1298!75),(121!73),(349!666),(1056!814),(105!1030),,,,(873!49),,(145!946),,,(47!652),
286,(1297!76),(121!73),(349!666),(1054!815),,,,,(873!50),,(145!946),,,(49!647),
287,(1297!76),(121!73),(349!666),(1054!815),,,,,(871!47),,(146!945),,,(50!652),
288,(1297!75),(121!73),(349!666),(1053!814),(105!1029),,,,(870!47),,(145!945),,,(47!650),
289,(1297!76),(121!73),(349!666),(1051!814),,,,,(871!47),,(145!944),,,(50!651),
290,(1297!75),(121!73),(349!666),(1051!814),,,,,(870!47),,(145!944),,,,
291,(1297!76),(121!73),(349!666),(1050!814),,,,,,,(145!944),,,,
292,(1297!76),(121!73),(348!666),(1050!814),,(48!653),,,(869!47),,(145!943),,,(50!627),
293,(1297!75),(121!73),(348!666),(1050!814),,(48!653),,,(869!47),,(145!943),,,(51!626),
294,(1297!75),(121!73),(348!666),(1050!813),,,,,(870!47),,(145!942),,,(49!650),
295,(1297!75),(121!73),(348!666),(1050!813),,,,,(869!46),,(145!941),,,,
296,(1297!75),(121!73),(348!665),(1050!812),(105!1029),,,,(869!46),,(145!941),,(37!1026),,
297,(1297!75),(121!73),(348!666),(1050!812),(104!1029),,,,(872!47),,(145!940),,,,
298,(1297!75),(121!73),(349!666),(1050!812),(104!1028),,,,(872!46),,(145!940),,,(49!648),
299,(1297!75),(121!73),(349!666),(1049!812),,,,,(872!46),,(146!940),,,,
300,(1297!75),(121!72),(349!666),(1053!812),(105!1030),,,,(870!48),,(146!939),,,,
301,(1298!75),(121!73),(349!666),(1049!812),,,,,(874!46),,(145!938),,,,
302,(1298!76),(121!73),(349!667),(1053!812),(103!1029),,,,(872!47),,(145!938),,,(48!656),
