frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_12,ID_15,ID_16
130,"(785,1015)","(555,929)","(141,896)","(1351,769)","(380,762)","(751,672)","(412,621)","(1214,631)","(1053,242)",,"(1336,1011)",,
131,"(785,1015)","(555,926)","(141,897)","(1351,770)","(381,763)","(751,672)","(412,621)","(1216,631)","(1052,242)",,"(1336,1011)",,
132,"(785,1015)","(554,926)","(141,896)","(1352,765)","(380,763)","(749,671)","(412,621)","(1216,631)","(1052,242)",,"(1336,1011)",,
133,"(785,1014)","(554,926)","(141,895)","(1351,765)","(381,762)","(749,670)","(415,617)","(1218,631)","(1052,241)",,"(1335,1011)",,
134,"(785,1015)","(554,926)","(141,896)","(1351,767)","(381,763)","(749,670)","(416,618)","(1219,630)","(1052,242)",,"(1335,1011)",,
135,"(785,1014)","(555,928)","(141,896)","(1349,765)","(381,762)","(748,669)","(415,617)","(1220,630)",,,"(1335,1011)",,
136,"(785,1014)","(554,928)","(141,895)","(1348,764)","(380,762)","(747,669)","(415,617)","(1222,629)",,,"(1335,1011)",,
137,"(785,1014)","(555,928)","(138,897)","(1351,762)","(381,762)","(747,669)","(415,617)","(1223,627)","(1053,241)",,"(1336,1011)",,
138,"(785,1014)","(555,928)","(138,897)","(1350,762)","(381,762)","(746,669)","(415,617)","(1225,628)","(1053,241)",,"(1336,1011)",,
139,"(785,1014)","(555,928)","(138,897)","(1352,758)","(381,762)","(747,668)","(416,616)","(1226,627)","(1054,242)",,"(1336,1010)",,
140,"(785,1014)",,,"(1352,759)","(381,762)","(741,665)","(417,617)","(1227,625)",,,"(1336,1011)",,
141,"(785,1014)",,,"(1352,755)","(381,762)","(740,664)","(416,620)","(1229,626)",,,"(1336,1010)",,
142,"(785,1014)",,,"(1352,757)","(381,762)","(740,665)","(416,616)","(1231,626)",,,"(1336,1011)",,
143,"(785,1014)",,"(138,898)","(1349,757)","(381,762)","(741,669)","(416,618)","(1233,624)",,,"(1336,1011)",,
144,"(785,1015)","(555,928)",,"(1351,756)","(381,762)","(740,668)","(416,616)","(1234,624)",,,"(1336,1011)",,
145,"(785,1014)",,,"(1351,758)","(381,762)","(741,669)","(416,615)","(1235,623)",,,"(1336,1011)",,
146,"(785,1015)",,,"(1351,758)","(381,762)","(740,670)","(416,616)","(1237,623)","(1054,243)",,"(1336,1012)",,
147,"(785,1014)",,,"(1351,755)","(381,762)","(739,665)","(415,616)","(1239,622)","(1054,242)",,"(1336,1011)",,
148,"(785,1014)",,,"(1351,755)","(381,762)","(740,667)","(415,616)","(1240,621)","(1054,242)",,"(1328,1014)",,
149,"(785,1014)",,,"(1351,754)","(381,762)","(744,666)","(412,616)","(1241,621)",,,"(1336,1009)",,
150,"(785,1015)",,,"(1351,755)","(380,762)","(744,667)","(412,618)","(1243,622)",,,"(1338,1009)",,
151,"(785,1014)",,,"(1349,756)","(381,762)","(744,670)","(415,616)","(1244,620)",,,"(1339,1008)",,
152,"(785,1014)",,,"(1347,755)",,"(743,672)","(416,617)","(1245,621)","(1054,242)",,"(1343,1009)",,
153,"(784,1014)",,,"(1350,753)",,"(742,672)","(412,619)","(1245,621)",,,,,
154,"(785,1014)",,,,,"(743,672)","(412,618)","(1245,621)",,,"(1335,1006)",,
155,"(785,1014)",,,"(1350,751)",,"(742,672)","(414,617)","(1244,621)",,,"(1332,1003)",,
156,"(785,1014)",,,,"(381,762)","(742,672)","(414,617)","(1245,621)",,,"(1336,1000)",,
157,"(785,1014)",,,,,"(742,672)","(415,618)","(1245,621)",,,"(1331,1000)",,
158,"(785,1014)",,,,"(381,762)","(741,672)","(415,617)","(1245,621)",,,"(1327,1002)",,
