frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_14,ID_15,ID_16,ID_17,ID_18,ID_21,ID_23,ID_24,ID_25,ID_27,ID_28,ID_30,ID_32,ID_33,ID_34,ID_36
75,"(910,1029)","(1073,897)","(826,878)","(1327,832)",,"(1208,559)","(960,482)","(604,113)",,"(1352,314)",,,,"(588,48)",,"(503,50)","(1313,1029)",,,,,,,,,,,
76,"(910,1029)","(1075,893)","(826,877)","(1327,832)","(904,585)","(1206,562)","(957,484)","(603,117)","(1269,45)","(1351,317)",,,,,,,,,,,"(1196,1034)",,,,,,,
77,"(906,1030)","(1076,895)","(826,878)","(1327,832)","(904,586)","(1203,561)","(954,485)","(603,117)",,"(1350,318)",,,,,,,,,,,,,,,,,,
78,"(906,1030)","(1078,896)","(825,877)","(1327,833)","(908,587)","(1201,563)","(952,487)","(603,119)","(1270,46)","(1350,321)",,,,,,,,,,,,,,,,,,
79,,"(1080,896)","(826,880)","(1327,833)",,"(1199,564)","(949,488)","(603,118)",,"(1351,321)",,,,,,,,,,,,,,,,,,
80,,"(1082,895)","(826,880)","(1328,834)","(908,588)","(1197,562)","(946,490)","(604,119)","(1271,46)","(1352,322)",,,,,,,,,,,,,,,,,,
81,"(908,1030)","(1084,894)","(826,882)","(1328,834)",,"(1194,562)","(944,490)","(605,120)","(1271,46)","(1352,324)",,,,,,,,,,,,,,,,,,
82,"(913,1031)","(1087,893)","(826,881)","(1328,834)","(905,586)","(1192,561)","(942,494)","(605,120)","(1271,46)","(1351,325)",,,,,,,,,,,,,,,,,,
83,,"(1089,893)","(825,880)","(1328,834)","(905,586)","(1190,562)","(940,494)","(605,119)","(1270,46)","(1351,325)",,,,,,,,,,,,,,,,,,
84,"(912,1030)","(1092,892)","(826,881)","(1329,834)","(906,586)","(1188,561)","(938,493)","(606,119)","(1271,46)","(1352,326)",,,,,,,,,,,,,,,,,,
85,,"(1094,890)","(826,880)","(1329,833)","(906,585)","(1186,561)","(936,495)","(606,118)",,"(1353,326)",,,,,,,,,,,,,,,,,,
86,"(908,1028)","(1097,891)","(826,879)","(1329,832)","(909,586)","(1184,561)","(933,495)","(606,115)",,"(1353,327)",,,,,,,,,,,,,,,,,,
87,"(908,1027)","(1099,889)","(826,879)","(1329,831)","(905,583)","(1182,560)","(930,495)","(605,114)",,"(1352,327)",,,,,,,,,,,,,,,,,,
88,"(908,1026)","(1100,885)","(825,878)","(1328,830)","(909,584)","(1178,560)","(927,496)","(605,112)",,"(1352,327)",,,,"(611,47)",,,,,,,,,,,,,,
89,"(908,1028)","(1103,886)","(825,877)","(1328,830)","(909,583)","(1176,561)","(925,494)","(606,112)",,"(1353,328)",,,,"(586,47)","(272,49)","(449,48)","(1263,1032)",,,,"(1199,1032)",,,,,,,
90,"(860,1036)","(1104,886)","(826,877)","(1329,830)","(909,583)","(1174,559)","(923,496)","(606,114)",,"(1352,329)",,,,"(586,49)",,,,"(395,49)",,,,"(77,49)",,,,,,
91,"(842,1036)","(1105,884)","(825,877)","(1329,829)","(905,581)","(1172,561)","(921,496)","(606,111)",,"(1352,329)",,,,"(537,48)",,,,"(403,48)","(125,49)",,,"(77,47)","(1115,1030)",,,,,
92,"(847,1037)","(1106,884)","(825,876)","(1328,829)",,"(1169,560)","(919,496)","(605,112)",,"(1351,330)","(908,1024)",,,"(534,48)","(284,47)",,"(1306,1028)",,,,,"(76,47)","(1107,1030)",,,,,
93,"(844,1037)","(1108,883)","(825,876)","(1328,829)","(908,583)","(1167,565)","(916,496)","(605,111)",,"(1351,331)","(912,1024)",,,"(535,47)","(298,49)",,"(1294,1028)",,,,,"(76,48)","(1106,1034)",,,,,
94,,"(1109,883)","(824,876)","(1328,829)","(908,583)","(1165,562)","(915,499)","(605,111)",,"(1351,332)","(912,1025)",,,,"(286,48)",,,,,,"(1211,1031)","(73,47)",,,,,,
95,,"(1111,883)","(825,877)","(1328,830)","(908,583)","(1162,563)","(914,501)","(604,113)",,"(1351,332)","(912,1025)",,,,,,,,,,,,,,,,,
96,,"(1114,884)","(825,878)","(1328,830)","(908,584)","(1160,564)","(912,503)",,,"(1351,334)","(912,1026)",,,,,,,,,,,,,,,,,
97,,"(1115,884)","(825,878)","(1328,831)","(905,583)","(1157,565)","(910,504)","(605,116)",,"(1350,335)","(911,1026)",,,,,,,,,,,,,,,,,
98,,"(1116,885)","(825,879)","(1328,831)","(908,585)","(1156,565)","(908,506)","(606,116)",,"(1350,338)",,,,,,,,,,,,,,,,,,
99,,"(1118,885)","(825,879)","(1328,831)","(905,585)","(1154,567)","(907,507)","(606,117)",,"(1349,341)",,,,,,,,,,,,,,,,,,
100,,"(1121,884)","(825,879)","(1329,831)","(909,584)","(1151,567)","(906,507)","(607,116)",,"(1350,343)",,,,,,,,,,,,,,,,,,
101,,"(1124,882)","(826,879)",,,"(1149,568)","(903,508)","(607,117)",,"(1351,339)",,,,,,,,,,,,,,,,,,
