frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_19,ID_20
141,"(539,536)","(135,520)","(394,437)","(939,235)","(197,57)","(1061,139)","(909,76)",,"(62,151)","(548,1028)",,"(59,108)","(45,1019)",,,,"(52,74)",,,
142,,"(135,518)","(393,436)","(938,234)","(199,57)","(1062,138)","(910,80)",,"(65,153)","(551,1026)",,"(59,108)","(46,1016)",,,,"(52,71)",,,
143,"(540,536)","(135,518)","(394,436)","(938,233)","(201,55)","(1062,138)","(913,81)",,"(66,153)","(553,1027)",,"(60,107)","(45,1019)",,,,"(52,72)",,,
144,,"(133,524)","(395,437)","(935,233)","(204,55)","(1063,138)","(914,80)",,"(65,150)","(553,1026)",,"(60,107)","(45,1019)",,,,"(52,72)",,,
145,,"(131,519)","(395,437)","(937,234)","(207,56)","(1062,137)","(914,80)",,"(64,139)","(556,1027)",,"(60,107)",,,,,"(52,72)",,,
146,,"(129,520)","(396,439)","(936,234)","(210,56)","(1062,138)","(914,80)",,"(65,151)","(556,1026)",,,"(45,1019)",,,,,,,
147,"(539,536)","(128,521)","(397,440)","(934,233)","(209,57)","(1062,138)","(911,79)",,"(65,151)","(561,1027)",,,"(45,1020)",,,,,,,
148,"(539,536)","(127,521)","(398,441)","(931,235)","(211,56)","(1063,138)","(910,77)",,"(63,150)","(563,1026)",,,,,,,,,,
149,"(539,536)","(124,521)","(400,443)","(930,235)","(211,54)","(1063,138)","(912,76)",,"(64,151)","(563,1025)",,"(59,108)","(45,1020)",,,,"(52,73)",,,
150,"(539,537)","(124,523)","(400,444)","(929,234)",,"(1062,139)","(913,76)",,"(63,151)","(565,1026)",,"(59,108)","(45,1020)",,,,"(51,73)",,,
