frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_16,ID_18,ID_19,ID_20,ID_21,ID_22
151,"(1350,1009)",,,"(1161,297)","(836,204)",,"(417,125)","(1198,96)","(1357,69)","(668,64)","(1033,59)",,,,,,,,,,
152,"(1350,1009)","(841,1033)",,"(1157,297)","(836,204)","(1354,134)","(413,125)","(1198,96)","(1356,70)","(667,64)",,,,,,,,,,,
153,"(1350,1010)","(842,1035)",,"(1158,296)","(836,204)","(1354,134)","(416,124)","(1196,92)","(1356,69)","(667,65)",,,,,,,,,,,
154,"(1350,1010)","(840,1034)",,"(1157,296)","(835,205)","(1354,134)","(413,125)","(1195,92)","(1356,70)","(667,65)",,,,,,,,,,,
155,"(1350,1010)","(841,1033)",,"(1161,298)","(835,205)","(1353,134)","(413,124)","(1195,92)","(1356,70)","(667,65)",,,,,,,,,,,
156,"(1350,1010)","(841,1033)",,"(1161,298)","(835,205)","(1353,134)","(413,125)","(1197,96)","(1356,70)","(667,65)","(1033,59)",,,,,,,,,,
157,"(1350,1010)","(841,1033)",,"(1161,298)","(835,205)","(1353,134)","(413,125)","(1198,96)","(1356,70)","(668,65)",,,,,,,,,,,
158,"(1350,1010)","(841,1033)",,"(1158,297)","(835,205)","(1353,134)","(412,125)","(1198,96)","(1356,70)","(668,65)",,,,,,,,,,,
159,"(1350,1010)",,,"(1161,298)","(835,205)","(1354,134)","(412,125)","(1198,96)","(1356,70)","(668,65)",,,,,,,,,,,
160,"(1350,1011)",,,"(1163,299)","(836,205)","(1353,134)","(415,124)","(1198,96)","(1356,70)","(668,65)",,,,,,,,,,,
161,"(1350,1010)",,,"(1159,298)","(835,204)","(1354,134)","(411,123)","(1198,95)","(1361,63)","(668,64)","(1033,58)",,,,,,,,,,
162,"(1351,1010)",,,"(1161,298)","(835,204)","(1354,134)","(415,123)","(1198,95)","(1357,69)","(668,64)",,,,,,,,,,,
163,"(1351,1010)",,,"(1162,298)","(835,204)","(1354,134)","(412,124)","(1198,95)","(1361,63)","(668,64)",,,,,,,,,,,
164,"(1350,1011)",,,"(1162,298)","(832,203)","(1354,134)","(415,123)","(1198,96)","(1362,62)","(668,64)",,,,,,,,,,,
165,"(1351,1011)",,,"(1162,298)","(832,202)","(1354,134)","(415,123)","(1198,95)","(1362,63)","(668,64)",,,,,,,,,,,
166,"(1350,1012)",,,"(1163,298)","(832,203)","(1354,134)","(415,122)","(1198,96)","(1357,69)","(668,64)",,,,,,,,,,,
167,"(1350,1012)",,,"(1163,299)","(836,204)",,"(416,123)","(1199,96)","(1362,64)","(668,64)","(1033,59)",,,,,,,,,,
168,"(1350,1012)",,,"(1163,299)","(836,204)",,"(413,123)","(1198,96)","(1357,69)","(668,64)","(1033,59)",,,,,,,,,,
169,"(1351,1011)",,,"(1163,299)","(836,204)",,"(415,122)","(1198,95)","(1357,70)","(668,64)","(1033,59)",,,,,,,,,,
170,"(1351,1011)",,,"(1167,300)",,,"(412,123)","(1198,95)","(1362,63)","(668,64)","(1033,60)",,,,,,,,,,
